name,value,year,lastValue,rank
Carlton North,16137.0,2019.1,,1
Carlton North,25743.0,2019.10,16137.0,1
Carlton North,25235.0,2019.11,25743.0,1
Carlton North,23930.0,2019.12,25235.0,1
Carlton North,16775.0,2019.2,23930.0,1
Carlton North,20417.0,2019.3,16775.0,1
Carlton North,18043.0,2019.4,20417.0,1
Carlton North,23083.0,2019.5,18043.0,1
Carlton North,22864.0,2019.6,23083.0,1
Carlton North,22732.0,2019.7,22864.0,1
Carlton North,23170.0,2019.8,22732.0,1
Carlton North,23508.0,2019.9,23170.0,1
Carlton South,459773.0,2019.1,23508.0,1
Carlton South,754503.0,2019.10,459773.0,1
Carlton South,733841.0,2019.11,754503.0,1
Carlton South,718138.0,2019.12,733841.0,1
Carlton South,457832.0,2019.2,718138.0,1
Carlton South,597339.0,2019.3,457832.0,1
Carlton South,654399.0,2019.4,597339.0,1
Carlton South,742940.0,2019.5,654399.0,1
Carlton South,751506.0,2019.6,742940.0,1
Carlton South,811229.0,2019.7,751506.0,1
Carlton South,790117.0,2019.8,811229.0,1
Carlton South,735099.0,2019.9,790117.0,1
Docklands,114294.0,2019.1,735099.0,1
Docklands,218468.0,2019.10,114294.0,1
Docklands,191036.0,2019.11,218468.0,1
Docklands,184195.0,2019.12,191036.0,1
Docklands,122022.0,2019.2,184195.0,1
Docklands,147626.0,2019.3,122022.0,1
Docklands,152433.0,2019.4,147626.0,1
Docklands,180895.0,2019.5,152433.0,1
Docklands,179259.0,2019.6,180895.0,1
Docklands,192106.0,2019.7,179259.0,1
Docklands,194547.0,2019.8,192106.0,1
Docklands,193400.0,2019.9,194547.0,1
East Melbourne,79366.0,2019.1,193400.0,1
East Melbourne,128873.0,2019.10,79366.0,1
East Melbourne,120524.0,2019.11,128873.0,1
East Melbourne,116809.0,2019.12,120524.0,1
East Melbourne,89854.0,2019.2,116809.0,1
East Melbourne,103848.0,2019.3,89854.0,1
East Melbourne,105227.0,2019.4,103848.0,1
East Melbourne,126829.0,2019.5,105227.0,1
East Melbourne,121842.0,2019.6,126829.0,1
East Melbourne,124160.0,2019.7,121842.0,1
East Melbourne,122364.0,2019.8,124160.0,1
East Melbourne,117802.0,2019.9,122364.0,1
Footscray,104203.0,2019.1,117802.0,1
Footscray,169007.0,2019.10,104203.0,1
Footscray,157134.0,2019.11,169007.0,1
Footscray,154827.0,2019.12,157134.0,1
Footscray,107762.0,2019.2,154827.0,1
Footscray,122836.0,2019.3,107762.0,1
Footscray,120651.0,2019.4,122836.0,1
Footscray,151094.0,2019.5,120651.0,1
Footscray,151590.0,2019.6,151094.0,1
Footscray,151840.0,2019.7,151590.0,1
Footscray,153232.0,2019.8,151840.0,1
Footscray,150465.0,2019.9,153232.0,1
Highpoint City,1424.0,2019.1,150465.0,1
Highpoint City,1557.0,2019.10,1424.0,1
Highpoint City,1997.0,2019.11,1557.0,1
Highpoint City,1651.0,2019.12,1997.0,1
Highpoint City,1201.0,2019.2,1651.0,1
Highpoint City,1244.0,2019.3,1201.0,1
Highpoint City,966.0,2019.4,1244.0,1
Highpoint City,1412.0,2019.5,966.0,1
Highpoint City,1629.0,2019.6,1412.0,1
Highpoint City,2272.0,2019.7,1629.0,1
Highpoint City,1486.0,2019.8,2272.0,1
Highpoint City,1417.0,2019.9,1486.0,1
Melbourne City,27530.0,2019.1,1417.0,1
Melbourne City,54745.0,2019.10,27530.0,1
Melbourne City,55001.0,2019.11,54745.0,1
Melbourne City,59395.0,2019.12,55001.0,1
Melbourne City,27945.0,2019.2,59395.0,1
Melbourne City,32982.0,2019.3,27945.0,1
Melbourne City,33685.0,2019.4,32982.0,1
Melbourne City,40986.0,2019.5,33685.0,1
Melbourne City,43129.0,2019.6,40986.0,1
Melbourne City,48518.0,2019.7,43129.0,1
Melbourne City,48501.0,2019.8,48518.0,1
Melbourne City,47059.0,2019.9,48501.0,1
No,1619.0,2019.1,47059.0,1
No,3203.0,2019.10,1619.0,1
No,3352.0,2019.11,3203.0,1
No,2285.0,2019.12,3352.0,1
No,1831.0,2019.2,2285.0,1
No,2105.0,2019.3,1831.0,1
No,2422.0,2019.4,2105.0,1
No,2987.0,2019.5,2422.0,1
No,3065.0,2019.6,2987.0,1
No,2826.0,2019.7,3065.0,1
No,2501.0,2019.8,2826.0,1
No,3273.0,2019.9,2501.0,1
North Melbourne,161046.0,2019.1,3273.0,1
North Melbourne,249498.0,2019.10,161046.0,1
North Melbourne,238612.0,2019.11,249498.0,1
North Melbourne,234832.0,2019.12,238612.0,1
North Melbourne,173364.0,2019.2,234832.0,1
North Melbourne,194135.0,2019.3,173364.0,1
North Melbourne,191223.0,2019.4,194135.0,1
North Melbourne,236853.0,2019.5,191223.0,1
North Melbourne,228284.0,2019.6,236853.0,1
North Melbourne,246356.0,2019.7,228284.0,1
North Melbourne,237765.0,2019.8,246356.0,1
North Melbourne,230045.0,2019.9,237765.0,1
Parkville,121161.0,2019.1,230045.0,1
Parkville,207681.0,2019.10,121161.0,1
Parkville,194600.0,2019.11,207681.0,1
Parkville,188015.0,2019.12,194600.0,1
Parkville,129157.0,2019.2,188015.0,1
Parkville,144242.0,2019.3,129157.0,1
Parkville,143751.0,2019.4,144242.0,1
Parkville,185979.0,2019.5,143751.0,1
Parkville,180329.0,2019.6,185979.0,1
Parkville,191740.0,2019.7,180329.0,1
Parkville,199777.0,2019.8,191740.0,1
Parkville,192977.0,2019.9,199777.0,1
Port Melbourne,62746.0,2019.1,192977.0,1
Port Melbourne,99251.0,2019.10,62746.0,1
Port Melbourne,94446.0,2019.11,99251.0,1
Port Melbourne,90517.0,2019.12,94446.0,1
Port Melbourne,67859.0,2019.2,90517.0,1
Port Melbourne,75387.0,2019.3,67859.0,1
Port Melbourne,72976.0,2019.4,75387.0,1
Port Melbourne,90765.0,2019.5,72976.0,1
Port Melbourne,85815.0,2019.6,90765.0,1
Port Melbourne,91006.0,2019.7,85815.0,1
Port Melbourne,95759.0,2019.8,91006.0,1
Port Melbourne,92113.0,2019.9,95759.0,1
South Melbourne,24833.0,2019.1,92113.0,1
South Melbourne,41584.0,2019.10,24833.0,1
South Melbourne,39405.0,2019.11,41584.0,1
South Melbourne,37919.0,2019.12,39405.0,1
South Melbourne,26165.0,2019.2,37919.0,1
South Melbourne,33688.0,2019.3,26165.0,1
South Melbourne,33141.0,2019.4,33688.0,1
South Melbourne,41064.0,2019.5,33141.0,1
South Melbourne,40434.0,2019.6,41064.0,1
South Melbourne,42950.0,2019.7,40434.0,1
South Melbourne,43426.0,2019.8,42950.0,1
South Melbourne,40309.0,2019.9,43426.0,1
South Yarra,47509.0,2019.1,40309.0,1
South Yarra,76749.0,2019.10,47509.0,1
South Yarra,74247.0,2019.11,76749.0,1
South Yarra,68403.0,2019.12,74247.0,1
South Yarra,47469.0,2019.2,68403.0,1
South Yarra,56470.0,2019.3,47469.0,1
South Yarra,55735.0,2019.4,56470.0,1
South Yarra,70344.0,2019.5,55735.0,1
South Yarra,67256.0,2019.6,70344.0,1
South Yarra,72235.0,2019.7,67256.0,1
South Yarra,72582.0,2019.8,72235.0,1
South Yarra,71244.0,2019.9,72582.0,1
Southbank,18214.0,2019.1,71244.0,1
Southbank,31303.0,2019.10,18214.0,1
Southbank,30304.0,2019.11,31303.0,1
Southbank,28139.0,2019.12,30304.0,1
Southbank,18613.0,2019.2,28139.0,1
Southbank,20358.0,2019.3,18613.0,1
Southbank,24583.0,2019.4,20358.0,1
Southbank,27994.0,2019.5,24583.0,1
Southbank,25972.0,2019.6,27994.0,1
Southbank,28719.0,2019.7,25972.0,1
Southbank,26152.0,2019.8,28719.0,1
Southbank,27181.0,2019.9,26152.0,1
West Melbourne,66728.0,2019.1,27181.0,1
West Melbourne,114305.0,2019.10,66728.0,1
West Melbourne,106709.0,2019.11,114305.0,1
West Melbourne,110375.0,2019.12,106709.0,1
West Melbourne,78771.0,2019.2,110375.0,1
West Melbourne,88177.0,2019.3,78771.0,1
West Melbourne,80442.0,2019.4,88177.0,1
West Melbourne,104456.0,2019.5,80442.0,1
West Melbourne,103219.0,2019.6,104456.0,1
West Melbourne,108285.0,2019.7,103219.0,1
West Melbourne,105798.0,2019.8,108285.0,1
West Melbourne,101674.0,2019.9,105798.0,1
World Trade Centre,744.0,2019.1,101674.0,1
World Trade Centre,884.0,2019.10,744.0,1
World Trade Centre,766.0,2019.11,884.0,1
World Trade Centre,721.0,2019.12,766.0,1
World Trade Centre,713.0,2019.2,721.0,1
World Trade Centre,734.0,2019.3,713.0,1
World Trade Centre,639.0,2019.4,734.0,1
World Trade Centre,831.0,2019.5,639.0,1
World Trade Centre,812.0,2019.6,831.0,1
World Trade Centre,1187.0,2019.7,812.0,1
World Trade Centre,1170.0,2019.8,1187.0,1
World Trade Centre,943.0,2019.9,1170.0,1
