name,value,year,maxValue
Carlton North,16.0,0,76
Carlton South,445.0,0,1054
Docklands,65.0,0,366
East Melbourne,87.0,0,391
Kensington/Flemington,136.0,0,506
Melbourne City,68.0,0,276
North Melbourne,184.0,0,798
Parkville,144.0,0,601
Port Melbourne,81.0,0,328
South Yarra,52.0,0,219
Southbank,17.0,0,66
West Melbourne,79.0,0,319
Carlton North,16.0,15,76
Carlton South,429.0,15,1054
Docklands,62.0,15,366
East Melbourne,85.0,15,391
Kensington/Flemington,133.0,15,506
Melbourne City,66.0,15,276
North Melbourne,178.0,15,798
Parkville,139.0,15,601
Port Melbourne,79.0,15,328
South Yarra,50.0,15,219
Southbank,17.0,15,66
West Melbourne,77.0,15,319
Carlton North,15.0,30,76
Carlton South,414.0,30,1054
Docklands,60.0,30,366
East Melbourne,83.0,30,391
Kensington/Flemington,129.0,30,506
Melbourne City,65.0,30,276
North Melbourne,173.0,30,798
Parkville,135.0,30,601
Port Melbourne,76.0,30,328
South Yarra,49.0,30,219
Southbank,16.0,30,66
West Melbourne,74.0,30,319
Carlton North,15.0,45,76
Carlton South,399.0,45,1054
Docklands,57.0,45,366
East Melbourne,81.0,45,391
Kensington/Flemington,126.0,45,506
Melbourne City,63.0,45,276
North Melbourne,168.0,45,798
Parkville,131.0,45,601
Port Melbourne,75.0,45,328
South Yarra,47.0,45,219
Southbank,16.0,45,66
West Melbourne,73.0,45,319
Carlton North,15.0,60,76
Carlton South,385.0,60,1054
Docklands,55.0,60,366
East Melbourne,79.0,60,391
Kensington/Flemington,125.0,60,506
Melbourne City,62.0,60,276
North Melbourne,164.0,60,798
Parkville,128.0,60,601
Port Melbourne,73.0,60,328
South Yarra,46.0,60,219
Southbank,16.0,60,66
West Melbourne,71.0,60,319
Carlton North,14.0,75,76
Carlton South,370.0,75,1054
Docklands,52.0,75,366
East Melbourne,78.0,75,391
Kensington/Flemington,122.0,75,506
Melbourne City,60.0,75,276
North Melbourne,160.0,75,798
Parkville,124.0,75,601
Port Melbourne,71.0,75,328
South Yarra,45.0,75,219
Southbank,15.0,75,66
West Melbourne,69.0,75,319
Carlton North,14.0,90,76
Carlton South,356.0,90,1054
Docklands,51.0,90,366
East Melbourne,76.0,90,391
Kensington/Flemington,120.0,90,506
Melbourne City,58.0,90,276
North Melbourne,157.0,90,798
Parkville,121.0,90,601
Port Melbourne,70.0,90,328
South Yarra,44.0,90,219
Southbank,15.0,90,66
West Melbourne,68.0,90,319
Carlton North,13.0,105,76
Carlton South,344.0,105,1054
Docklands,49.0,105,366
East Melbourne,75.0,105,391
Kensington/Flemington,118.0,105,506
Melbourne City,57.0,105,276
North Melbourne,154.0,105,798
Parkville,119.0,105,601
Port Melbourne,69.0,105,328
South Yarra,43.0,105,219
Southbank,14.0,105,66
West Melbourne,66.0,105,319
Carlton North,13.0,120,76
Carlton South,333.0,120,1054
Docklands,48.0,120,366
East Melbourne,74.0,120,391
Kensington/Flemington,116.0,120,506
Melbourne City,55.0,120,276
North Melbourne,151.0,120,798
Parkville,117.0,120,601
Port Melbourne,68.0,120,328
South Yarra,43.0,120,219
Southbank,14.0,120,66
West Melbourne,65.0,120,319
Carlton North,13.0,135,76
Carlton South,318.0,135,1054
Docklands,46.0,135,366
East Melbourne,73.0,135,391
Kensington/Flemington,114.0,135,506
Melbourne City,54.0,135,276
North Melbourne,148.0,135,798
Parkville,115.0,135,601
Port Melbourne,67.0,135,328
South Yarra,42.0,135,219
Southbank,14.0,135,66
West Melbourne,63.0,135,319
Carlton North,13.0,150,76
Carlton South,306.0,150,1054
Docklands,45.0,150,366
East Melbourne,71.0,150,391
Kensington/Flemington,113.0,150,506
Melbourne City,53.0,150,276
North Melbourne,146.0,150,798
Parkville,113.0,150,601
Port Melbourne,66.0,150,328
South Yarra,41.0,150,219
Southbank,13.0,150,66
West Melbourne,62.0,150,319
Carlton North,13.0,165,76
Carlton South,295.0,165,1054
Docklands,45.0,165,366
East Melbourne,71.0,165,391
Kensington/Flemington,112.0,165,506
Melbourne City,52.0,165,276
North Melbourne,144.0,165,798
Parkville,112.0,165,601
Port Melbourne,65.0,165,328
South Yarra,41.0,165,219
Southbank,13.0,165,66
West Melbourne,61.0,165,319
Carlton North,12.0,180,76
Carlton South,285.0,180,1054
Docklands,45.0,180,366
East Melbourne,70.0,180,391
Kensington/Flemington,110.0,180,506
Melbourne City,51.0,180,276
North Melbourne,142.0,180,798
Parkville,111.0,180,601
Port Melbourne,64.0,180,328
South Yarra,40.0,180,219
Southbank,13.0,180,66
West Melbourne,60.0,180,319
Carlton North,12.0,195,76
Carlton South,271.0,195,1054
Docklands,43.0,195,366
