sub_name,January,February,March,April,May,June,July,August,September,October,November,December
Carlton North,1720,1779,2018,1654,2073,1855,1899,1944,1946,2048,1976,1961
Carlton South,28745,29837,34283,30720,40162,38841,40957,41727,40070,42999,40536,39515
Docklands,3875,4450,5088,4208,5634,5355,5646,5502,5179,5105,6934,8703
East Melbourne,8228,9332,10481,9051,11156,10045,10900,10691,10411,10953,10130,9720
Kensington/Flemington,10372,11218,12653,10887,13304,11892,12962,13511,12673,13580,12555,11771
Melbourne City,4717,5313,6438,5474,7003,6465,7317,7725,7089,7499,7609,8245
North Melbourne,15095,17114,19217,16160,20872,18897,20494,21246,19072,20630,19320,18871
Parkville,11404,12879,14018,11741,15305,14040,15906,16547,15534,16218,14583,14167
Port Melbourne,6349,6920,7680,6353,8013,7286,8186,8533,8391,8744,7909,7720
South Yarra,4628,5181,5689,4942,6114,5503,6021,6254,5669,6181,5700,5323
Southbank,1326,1541,1645,1391,1877,1593,1689,1831,1728,1837,1562,1554
West Melbourne,5868,6628,7274,6776,8326,7414,8299,8693,8159,8629,7644,7478
