Year,Month,Carlton North,Carlton South,Docklands,East Melbourne,Flemington,Melbourne City,North Melbourne,Parkville,Port Melbourne,South Yarra,Southbank,West Melbourne
2019,January,1720,28745,3875,8228,10372,4717,15095,11404,6349,4628,1326,5868
2019,February,1779,29837,4450,9332,11218,5313,17114,12879,6920,5181,1541,6628
2019,March,2018,34283,5088,10481,12653,6438,19217,14018,7680,5689,1645,7274
2019,April,1654,30720,4208,9051,10887,5474,16160,11741,6353,4942,1391,6776
2019,May,2073,40162,5634,11156,13304,7003,20872,15305,8013,6114,1877,8326
2019,June,1855,38841,5355,10045,11892,6465,18897,14040,7286,5503,1593,7414
2019,July,1899,40957,5646,10900,12962,7317,20494,15906,8186,6021,1689,8299
2019,August,1944,41727,5502,10691,13511,7725,21246,16547,8533,6254,1831,8693
2019,September,1946,40070,5179,10411,12673,7089,19072,15534,8391,5669,1728,8159
2019,October,2048,42999,5105,10953,13580,7499,20630,16218,8744,6181,1837,8629
2019,November,1976,40536,6934,10130,12555,7609,19320,14583,7909,5700,1562,7644
2019,December,1961,39515,8703,9720,11771,8245,18871,14167,7720,5323,1554,7478
